ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s
53678,SN 2020buq,11:42:42.713,+07:51:05.13,SN Ia,0.0864,,,"ZTF, ATLAS","ZTF, ATLAS","ZTF, ePESSTO+",ATLAS; ZTF,ZTF20aalyeut,"ATLAS1 - ACAM1, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM",1,1,,19.85,g-ZTF,2020-01-31 11:06:38.000,ZTF_AMPEL_NEW,,
53662,SN 2020bua,10:12:29.992,+41:46:41.79,SN Ia,0.07,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aajbsxt,"ATLAS1 - ACAM1, P48 - ZTF-Cam",LT - SPRAT,1,1,,21.03,g-ZTF,2020-01-26 08:57:07.000,ZTF_TESS,,TESS-Sector21
53594,SN 2020bro,02:02:26.429,+10:57:59.78,SN Ia,0.09,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aaivego,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,20.31,g-ZTF,2020-01-26 03:57:59.000,ZTF_AMPEL_NEW,,
53562,SN 2020bqi,14:01:33.983,+23:51:01.07,SN Ia,0.11,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF20aaknzba,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.89,g-ZTF,2020-01-30 12:05:07.000,ZTF_AMPEL_NEW,,
53536,SN 2020bpi,13:23:29.020,+62:26:46.43,SN Ia,0.041,,,"SGLF, ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",Global SN Project,ATLAS; GaiaAlerts; ZTF,ZTF20aakyoez,"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam",FTN - FLOYDS-N,1,1,,20.778,g-ZTF,2020-01-30 12:16:34.000,Perez-Fournon,,TESS-Sector21
53511,SN 2020bol,07:38:39.724,+28:39:10.28,SN Ia,0.08,,,ZTF,ZTF,ZTF,ZTF,ZTF20aakfofq,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.35,g-ZTF,2020-01-31 04:41:28.000,ZTF_AMPEL_NEW,,
53502,SN 2020boc,06:58:26.039,+14:39:47.86,SN Ia,0.04987,WISEA J065826.03+143947.6,,ALeRCE,ZTF,ZTF,ZTF,ZTF18adcdcrd,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.6782,g-ZTF,2020-01-31 04:52:31.000,ALeRCE,,
53447,SN 2020blz,05:42:27.901,-21:16:39.42,SN Ia,0.1,,,ZTF,ZTF,ZTF,ZTF,ZTF20aaivvwa,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.79,g-ZTF,2020-01-24 04:30:43.000,ZTF_Bot1,,
53385,SN 2020bka,12:41:44.464,+17:34:43.86,SN Ia,0.117,,,ZTF,ZTF,ePESSTO+,ZTF,ZTF20aahgmud,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,20.49,g-ZTF,2020-01-23 10:37:28.000,ZTF_AMPEL_COMPLETE,,
53365,SN 2020bjg,11:42:19.001,+44:57:43.29,SN Ia,0.09,,,"ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,Pan-STARRS1; ZTF,ZTF20aakbtyz,"P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.74,r-ZTF,2020-01-30 08:17:32.000,ZTF_AMPEL_NEW,,
